score,member,similarity_score,audience,pc1,pc2,pc3
0.3040469288825989,AUD0_0001,0.9535042643547058,Audience 0,-0.0026283052284270525,-0.008074920624494553,0.007123367860913277
0.30423879623413086,AUD0_0002,0.9533121585845947,Audience 0,-0.0028390742372721434,-0.006162845995277166,0.009013380855321884
0.30430838465690613,AUD0_0003,0.9531506299972534,Audience 0,-0.002796981716528535,-0.013203446753323078,0.009811130352318287
0.30410584807395935,AUD0_0004,0.9530892968177795,Audience 0,-0.0025431858375668526,-0.013652500696480274,0.003954444080591202
0.3039323091506958,AUD0_0005,0.9534120559692383,Audience 0,-0.00246232096105814,-0.00999318528920412,0.004584431182593107
0.304400235414505,AUD0_0006,0.95316082239151,Audience 0,-0.002842213027179241,-0.013312076218426228,0.0036496897228062153
0.3050418794155121,AUD0_0007,0.9530366063117981,Audience 0,-0.003498456673696637,-0.014317406341433525,0.009801933541893959
0.3044482171535492,AUD0_0008,0.9531904458999634,Audience 0,-0.0029914062470197678,-0.010874015279114246,0.009807130321860313
0.30619555711746216,AUD0_0009,0.9527246356010437,Audience 0,-0.00452487962320447,-0.01158958300948143,0.019972875714302063
0.3034019470214844,AUD0_0010,0.9536410570144653,Audience 0,-0.0018176395678892732,0.005486813839524984,0.011197132989764214
0.3012731075286865,AUD0_0011,0.9542158246040344,Audience 0,0.00044920999789610505,0.008767225779592991,0.005949942395091057
0.3011683523654938,AUD0_0012,0.9542622566223145,Audience 0,0.00038207820034585893,-0.0066214571706950665,-0.0005696598091162741
0.3024108409881592,AUD0_0013,0.9539089798927307,Audience 0,-0.0008575754472985864,-0.012188314460217953,0.0024412309285253286
0.3008437156677246,AUD0_0014,0.954406201839447,Audience 0,0.0008661182946525514,-0.010633115656673908,-0.003578993957489729
0.3011198937892914,AUD0_0015,0.9543611407279968,Audience 0,0.0005888422601856291,-0.009115324355661869,-0.0041494290344417095
0.30196622014045715,AUD0_0016,0.9540647864341736,Audience 0,6.424342427635565e-05,-0.010946400463581085,-0.00970770325511694
0.3013949394226074,AUD0_0017,0.9542703032493591,Audience 0,0.00030533462995663285,-0.008049167692661285,-0.0042601642198860645
0.3016984760761261,AUD0_0018,0.9541248083114624,Audience 0,1.549032640468795e-05,-0.006957960780709982,-0.004785970784723759
0.3036915957927704,AUD0_0019,0.953600287437439,Audience 0,-0.002245656680315733,-0.009193607605993748,0.005519327241927385
0.3040701448917389,AUD0_0020,0.9535337686538696,Audience 0,-0.002637185389176011,-0.009085631929337978,0.006786220241338015
0.30232274532318115,AUD0_0021,0.9540772438049316,Audience 0,-0.0008617412531748414,-0.005583248566836119,0.002707024570554495
0.30293527245521545,AUD0_0022,0.9537806510925293,Audience 0,-0.0015055601252242923,-0.004787617828696966,0.004444018006324768
0.30322447419166565,AUD0_0023,0.9537479877471924,Audience 0,-0.0017919918755069375,-0.00897508580237627,0.006656938698142767
0.30302664637565613,AUD0_0024,0.9538322687149048,Audience 0,-0.001571083557792008,-0.00572508480399847,0.00299074943177402
0.3031826913356781,AUD0_0025,0.9537926912307739,Audience 0,-0.0017455238848924637,-0.005461903288960457,0.003989142831414938
0.3029528856277466,AUD0_0026,0.9538501501083374,Audience 0,-0.001467893016524613,-0.005512916017323732,0.0016139628132805228
0.30358603596687317,AUD0_0027,0.9537049531936646,Audience 0,-0.0021717615891247988,-0.007121209055185318,0.006527981720864773
0.3035570979118347,AUD0_0028,0.9537134170532227,Audience 0,-0.0021426219027489424,-0.0061730435118079185,0.005892445798963308
0.30388352274894714,AUD0_0029,0.9535738229751587,Audience 0,-0.0024477948900312185,-0.007953964173793793,0.012659652158617973
0.303898423910141,AUD0_0030,0.9535753726959229,Audience 0,-0.0024315023329108953,-0.011288695968687534,0.0075399684719741344
0.3014458119869232,AUD0_0031,0.9543052911758423,Audience 0,1.1764478585973848e-05,-0.009038574993610382,0.004475135821849108
0.30252450704574585,AUD0_0032,0.9539856314659119,Audience 0,-0.0010968545684590936,-0.007898478768765926,0.005790992174297571
0.30231285095214844,AUD0_0033,0.9539024829864502,Audience 0,-0.0008364670211449265,-0.011441342532634735,0.006574889179319143
0.30205997824668884,AUD0_0034,0.9540953040122986,Audience 0,-0.0005323720979504287,-0.011134845204651356,0.002549804048612714
